Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ
Date,,,,,,,,,,
2021-06-04,36894.40625,326.5071716308594,39242.484375,326.95469995696317,35717.72265625,322.79066458569827,39242.484375,322.85877511313686,41831090187,38736500.0
2021-06-05,35551.95703125,,37917.71484375,,34900.4140625,,36880.15625,,35959473399,
2021-06-06,35862.37890625,,36436.421875,,35304.578125,,35538.609375,,28913440585,
2021-06-07,33560.70703125,327.4800109863281,36790.5703125,327.5383829435211,33480.640625,325.2812349629894,35835.265625,325.971989583587,33683936663,32611900.0
2021-06-08,33472.6328125,327.6357421875,34017.38671875,330.0971924896463,31114.443359375,325.9526045908102,33589.51953125,329.23129214090386,49902050442,27282800.0
2021-06-09,37345.12109375,327.7135314941406,37537.37109375,329.7858252532999,32475.865234375,327.5286770476892,33416.9765625,329.0075126193008,53972919008,21485300.0
2021-06-10,36702.59765625,331.1284484863281,38334.32421875,331.23545385775753,35847.59375,327.6065347352298,37389.515625,328.0540630270044,43576032854,33702100.0
2021-06-11,37334.3984375,331.99432373046875,37608.6953125,332.0040622882711,36044.44921875,330.48633180735413,36697.03125,331.13816198416174,38699736985,21222800.0
2021-06-12,35552.515625,,37408.92578125,,34728.19140625,,37340.14453125,,37924228550,
2021-06-13,39097.859375,,39322.78125,,34864.109375,,35555.7890625,,40669112838,
2021-06-14,40218.4765625,335.1757507324219,40978.36328125,335.18545959968566,38757.28515625,331.2354648503336,39016.96875,332.4224109867371,43148914673,27827700.0
2021-06-15,40406.26953125,332.9866943359375,41295.26953125,335.13680749008915,39609.46875,332.26672397158904,40427.16796875,334.82547055905866,46420149185,35963800.0
2021-06-16,38347.0625,331.7706298828125,40516.77734375,334.5239403451235,38176.03515625,328.30708746888837,40168.69140625,333.4537379833537,39211635100,55399500.0
2021-06-17,38053.50390625,335.9832763671875,39513.671875,336.99510668536135,37439.67578125,330.71014369990525,38341.421875,330.7587771123049,37096670047,59722700.0
2021-06-18,35787.24609375,333.3466491699219,38187.26171875,335.46757624382246,35255.85546875,332.5974928588003,38099.4765625,334.3195547661026,36200887275,55414900.0
2021-06-19,35615.87109375,,36457.796875,,34933.0625,,35854.52734375,,31207279719,
2021-06-20,35698.296875,,36059.484375,,33432.07421875,,35563.140625,,36664034054,
2021-06-21,31676.693359375,335.4184875488281,35721.640625,335.7399355620973,31295.935546875,331.3178108543099,35641.14453125,333.53860820213237,52809038594,32992600.0
2021-06-22,32505.66015625,338.54510498046875,33292.453125,338.9931524303866,28893.62109375,334.9119463812378,31622.376953125,335.21389463283106,58964353058,28941600.0
2021-06-23,33723.02734375,338.71075439453125,34753.41015625,339.8601377189985,31772.6328125,337.87309897560846,32515.71484375,338.4867454790947,46317108925,27188500.0
2021-06-24,34662.4375,340.8048400878906,35228.8515625,342.33405118888896,32385.21484375,340.1035342757446,33682.80078125,340.6489910490621,33123368116,32581600.0
2021-06-25,31637.779296875,340.38604736328125,35487.24609375,341.61334019864825,31350.884765625,339.7821508014881,34659.10546875,341.3698316027529,40230904226,28682800.0
2021-06-26,32186.27734375,,32637.587890625,,30184.501953125,,31594.6640625,,38585385521,
2021-06-27,34649.64453125,,34656.12890625,,32071.7578125,,32287.5234375,,35511640894,
2021-06-28,34434.3359375,344.525634765625,35219.890625,344.66201382416097,33902.07421875,341.6132819672113,34679.12109375,341.67172164225093,33892523752,39130300.0
2021-06-29,35867.77734375,345.77239990234375,36542.109375,345.8016197400771,34252.484375,343.51266309224303,34475.55859375,344.35031825737684,37901460044,29426000.0
2021-06-30,35040.8359375,345.2269592285156,36074.7578125,346.0062044797207,34086.15234375,344.6425327214036,35908.38671875,345.6165669915347,34059036099,32724000.0
2021-07-01,33572.1171875,345.3633117675781,35035.984375,345.8697988480837,32883.78125,343.52237287035,35035.984375,344.8762946699196,37838957079,29290000.0
2021-07-02,33897.046875,349.3276062011719,33939.58984375,349.6490243772253,32770.6796875,347.0288702528929,33549.6015625,347.2626289263863,38728974942,32727200.0
2021-07-03,34668.546875,,34909.26171875,,33402.6953125,,33854.421875,,24383958643,
2021-07-04,35287.78125,,35937.56640625,,34396.4765625,,34665.56640625,,24924307911,
2021-07-05,33746.00390625,,35284.34375,,33213.66015625,,35284.34375,,26721554282,
2021-07-06,34235.1953125,350.83746337890625,35038.53515625,351.11994168637995,33599.91796875,347.23352410133845,33723.5078125,349.93161849392743,26501259870,38842400.0
2021-07-07,33855.328125,351.5776672363281,34997.6640625,353.34066681475406,33839.2890625,349.6198489218205,34225.6796875,353.0387185814435,24796027477,35265200.0
2021-07-08,32877.37109375,349.4542541503906,33907.90625,350.3114090390071,32133.18359375,345.217228979653,33889.60546875,346.50293158741164,29910396946,50890000.0
2021-07-09,33798.01171875,351.63604736328125,34042.29296875,352.1133145431417,32318.880859375,348.2853678012341,32861.671875,348.86979418534196,27436021028,35184500.0
2021-07-10,33520.51953125,,34209.0703125,,33116.01171875,,33811.2421875,,22971873468,
2021-07-11,34240.1875,,34584.703125,,33346.73828125,,33509.078125,,20108729370,
2021-07-12,33155.84765625,353.00946044921875,34592.15625,353.46725767669983,32697.30859375,351.46072003325736,34254.015625,353.03868028394464,24321499537,25717700.0
2021-07-13,32702.025390625,353.00946044921875,33327.1015625,355.98025263861666,32261.419921875,352.1523056637084,33125.46875,352.62957287261924,19120856669,39723000.0
2021-07-14,32822.34765625,353.6426086425781,33061.3984375,355.99975479057673,31639.125,352.8146736169759,32723.845703125,355.35688864335026,21376531210,35336400.0
2021-07-15,31780.73046875,351.1588134765625,33159.640625,353.75949797623423,31175.708984375,349.15230532033104,32827.875,353.5549591088966,21300524237,53391600.0
2021-07-16,31421.5390625,348.3146057128906,32218.40625,352.99970743130774,31100.673828125,347.9639379741608,31841.55078125,352.01592346241705,23699476918,47262000.0
2021-07-17,31533.068359375,,31935.9453125,,31223.990234375,,31397.30859375,,18895018942,
2021-07-18,31796.810546875,,32398.99609375,,31215.4921875,,31533.884765625,,18787986667,
